2026-04-29 19:56:43 +0800: Memory Usage (575004K) : Starting running GF180MCU Klayout DRC runset on /home/yongfu/proj/iopad-automation/artifacts/pad_ring.gds
2026-04-29 19:56:43 +0800: Memory Usage (575004K) : Loading database to memory is complete.
2026-04-29 19:56:43 +0800: Memory Usage (575004K) : GF180MCU Klayout DRC runset output at: /home/yongfu/proj/iopad-automation/artifacts/pad_ring_drc.lyrdb
2026-04-29 19:56:43 +0800: Memory Usage (575004K) : Number of threads to use 40
2026-04-29 19:56:43 +0800: Memory Usage (575004K) : flat  mode is enabled.
2026-04-29 19:56:43 +0800: Memory Usage (575004K) : Read in polygons from layers.
2026-04-29 19:56:43 +0800: Memory Usage (578908K) : Starting deriving base layers.
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : Evaluate switches.
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : FEOL is enabled.
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : BEOL is enabled.
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : connectivity rules are disabled.
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : METAL_TOP Selected is 30K
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : METAL_STACK Selected is 3LM
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : Wedge enabled  true
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : Ball enabled  true
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : Gold enabled  true
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : MIM Option selected A
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : Offgrid enabled  true
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : Total area of the design is 6250800.025599999 um^2.
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : Total no. of polygons in the design is 4780884
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : Initialization and base layers definition.
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : Starting GF180MCU DRC rules.
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : FEOL section
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : Executing rule DN.1
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : CONNECTIVITY_RULES disabled section
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : Executing rule DN.2b_
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : Executing rule DN.3
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : Executing rule LPW.1_3.3V
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : Executing rule LPW.1_5V
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : CONNECTIVITY_RULES disabled section
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : Executing rule LPW.2a_3.3V_
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : Executing rule LPW.2a_5V_
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : Executing rule LPW.3_3.3V
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : Executing rule LPW.3_5V
2026-04-29 19:56:45 +0800: Memory Usage (607624K) : Executing rule LPW.5_3.3V
2026-04-29 19:56:46 +0800: Memory Usage (607624K) : Executing rule LPW.5_5V
2026-04-29 19:56:46 +0800: Memory Usage (607624K) : Executing rule LPW.11
2026-04-29 19:56:46 +0800: Memory Usage (607624K) : Executing rule LPW.12
2026-04-29 19:56:46 +0800: Memory Usage (607624K) : Executing rule NW.1a_3.3V
2026-04-29 19:56:46 +0800: Memory Usage (607624K) : Executing rule NW.1a_5V
2026-04-29 19:56:46 +0800: Memory Usage (607624K) : Executing rule NW.1b_3.3V
2026-04-29 19:56:46 +0800: Memory Usage (607624K) : Executing rule NW.1b_5V
2026-04-29 19:56:46 +0800: Memory Usage (607624K) : CONNECTIVITY_RULES disabled section
2026-04-29 19:56:46 +0800: Memory Usage (607624K) : Executing rule NW.2b_3.3V_
2026-04-29 19:56:46 +0800: Memory Usage (607624K) : Executing rule NW.2b_5V_
2026-04-29 19:56:46 +0800: Memory Usage (607624K) : Executing rule NW.3_3.3V
2026-04-29 19:56:46 +0800: Memory Usage (607624K) : Executing rule NW.3_5V
2026-04-29 19:56:46 +0800: Memory Usage (607624K) : Executing rule NW.4_3.3V
2026-04-29 19:56:46 +0800: Memory Usage (607624K) : Executing rule NW.4_5V
2026-04-29 19:56:46 +0800: Memory Usage (607624K) : Executing rule NW.5_3.3V
2026-04-29 19:56:46 +0800: Memory Usage (607624K) : Executing rule NW.5_5V
2026-04-29 19:56:46 +0800: Memory Usage (607624K) : Executing rule NW.6
2026-04-29 19:56:46 +0800: Memory Usage (607624K) : Executing rule DF.1a_3.3V
2026-04-29 19:56:46 +0800: Memory Usage (607624K) : Executing rule DF.1a_5V
2026-04-29 19:56:46 +0800: Memory Usage (607624K) : Executing rule DF.1c_3.3V
2026-04-29 19:56:46 +0800: Memory Usage (607624K) : Executing rule DF.1c_5V
2026-04-29 19:56:47 +0800: Memory Usage (621952K) : Executing rule DF.2a_3.3V
2026-04-29 19:56:47 +0800: Memory Usage (621952K) : Executing rule DF.2a_5V
2026-04-29 19:56:53 +0800: Memory Usage (621952K) : Executing rule DF.2b_3.3V
2026-04-29 19:56:54 +0800: Memory Usage (621952K) : Executing rule DF.2b_5V
2026-04-29 19:56:54 +0800: Memory Usage (621952K) : Executing rule DF.3a_3.3V
2026-04-29 19:56:54 +0800: Memory Usage (621952K) : Executing rule DF.3a_5V
2026-04-29 19:56:55 +0800: Memory Usage (621952K) : Executing rule DF.3b_3.3V
2026-04-29 19:56:56 +0800: Memory Usage (621952K) : Executing rule DF.3b_5V
2026-04-29 19:56:56 +0800: Memory Usage (621952K) : Executing rule DF.3c_3.3V
2026-04-29 19:56:56 +0800: Memory Usage (621952K) : Executing rule DF.3c_5V
2026-04-29 19:56:56 +0800: Memory Usage (621952K) : Executing rule DF.4a_3.3V
2026-04-29 19:56:56 +0800: Memory Usage (621952K) : Executing rule DF.4a_5V
2026-04-29 19:56:56 +0800: Memory Usage (621952K) : Executing rule DF.4b_3.3V
2026-04-29 19:56:56 +0800: Memory Usage (621952K) : Executing rule DF.4b_5V
2026-04-29 19:56:56 +0800: Memory Usage (621952K) : Executing rule DF.4c_3.3V
2026-04-29 19:56:56 +0800: Memory Usage (621952K) : Executing rule DF.4c_5V
2026-04-29 19:56:56 +0800: Memory Usage (621952K) : Executing rule DF.4d_3.3V
2026-04-29 19:56:56 +0800: Memory Usage (621952K) : Executing rule DF.4d_5V
2026-04-29 19:56:56 +0800: Memory Usage (621952K) : Executing rule DF.4e_3.3V
2026-04-29 19:56:56 +0800: Memory Usage (621952K) : Executing rule DF.4e_5V
2026-04-29 19:56:56 +0800: Memory Usage (621952K) : Executing rule DF.5_3.3V
2026-04-29 19:56:56 +0800: Memory Usage (621952K) : Executing rule DF.5_5V
2026-04-29 19:56:56 +0800: Memory Usage (621952K) : Executing rule DF.6_3.3V
