2026-04-29 19:33:26 +0800: Memory Usage (574996K) : Starting running GF180MCU Klayout DRC runset on /home/yongfu/proj/iopad-automation/artifacts/pad_ring.gds
2026-04-29 19:33:27 +0800: Memory Usage (575676K) : Loading database to memory is complete.
2026-04-29 19:33:27 +0800: Memory Usage (575676K) : GF180MCU Klayout DRC runset output at: /home/yongfu/proj/iopad-automation/artifacts/pad_ring_drc.lyrdb
2026-04-29 19:33:27 +0800: Memory Usage (575676K) : Number of threads to use 40
2026-04-29 19:33:27 +0800: Memory Usage (575676K) : flat  mode is enabled.
2026-04-29 19:33:27 +0800: Memory Usage (575676K) : Read in polygons from layers.
2026-04-29 19:33:27 +0800: Memory Usage (579876K) : Starting deriving base layers.
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : Evaluate switches.
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : FEOL is enabled.
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : BEOL is enabled.
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : connectivity rules are disabled.
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : METAL_TOP Selected is 30K
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : METAL_STACK Selected is 3LM
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : Wedge enabled  true
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : Ball enabled  true
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : Gold enabled  true
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : MIM Option selected A
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : Offgrid enabled  true
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : Total area of the design is 4000640.0256 um^2.
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : Total no. of polygons in the design is 3674978
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : Initialization and base layers definition.
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : Starting GF180MCU DRC rules.
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : FEOL section
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : Executing rule DN.1
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : CONNECTIVITY_RULES disabled section
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : Executing rule DN.2b_
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : Executing rule DN.3
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : Executing rule LPW.1_3.3V
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : Executing rule LPW.1_5V
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : CONNECTIVITY_RULES disabled section
2026-04-29 19:33:29 +0800: Memory Usage (617872K) : Executing rule LPW.2a_3.3V_
2026-04-29 19:33:30 +0800: Memory Usage (617872K) : Executing rule LPW.2a_5V_
2026-04-29 19:33:30 +0800: Memory Usage (617872K) : Executing rule LPW.3_3.3V
2026-04-29 19:33:30 +0800: Memory Usage (617872K) : Executing rule LPW.3_5V
